chapter,director_seconds,curator_seconds,primary_seconds,authority_reviser_seconds,state_seconds,adopted_stage_sum_seconds,primary_chars,reviser_chars,final_chars,primary_reviser_exact,primary_reviser_similarity,primary_reviser_changed_lines,reviser_final_exact,reviser_final_similarity,primary_final_similarity,final_file_diff,final_file_substantial_diff
1,26.102,105.259,67.6,133.801,25.081,357.843,3484,3511,3511,False,0.99242,4,True,1.0,0.99242,False,False
2,38.058,93.843,41.16,95.14,26.205,294.406,2303,2126,2126,False,0.9212,26,True,1.0,0.9212,False,False
3,26.393,137.42,39.186,55.457,25.07,283.526,1982,1982,1982,True,1.0,0,True,1.0,1.0,False,False
4,24.93,137.865,48.378,157.678,28.709,397.56,2303,2252,2252,False,0.96026,20,True,1.0,0.96026,False,False
5,25.477,96.103,61.943,118.165,23.24,324.928,2534,2446,2446,False,0.97108,6,True,1.0,0.97108,False,False
6,22.645,99.222,44.384,132.267,23.899,322.417,2251,2164,2164,False,0.97305,14,True,1.0,0.97305,False,False
7,27.309,186.699,52.985,182.452,26.582,476.027,2938,2931,2931,False,0.99097,12,True,1.0,0.99097,False,False
8,23.62,100.84,59.988,160.087,27.834,372.369,2821,2691,2691,False,0.91473,40,True,1.0,0.91473,False,False
9,35.889,188.186,75.247,128.058,30.119,457.499,2293,2308,2308,False,0.9837,6,False,0.99957,0.98326,True,False
10,69.187,138.658,49.281,191.335,24.98,473.441,2282,1983,1983,False,0.868,60,False,0.9995,0.868,True,False
11,28.409,156.832,61.73,142.36,27.07,416.401,3117,2665,2665,False,0.89173,54,False,0.99887,0.8907,True,False
12,53.497,66.283,40.345,127.172,27.464,314.761,2029,2013,2013,False,0.99258,6,False,0.9995,0.99208,True,False
13,21.015,66.154,53.04,152.855,25.379,318.443,3110,2933,2933,False,0.95019,28,False,0.9983,0.94854,True,False
14,23.977,82.178,71.508,210.84,29.496,417.999,3935,3654,3654,False,0.94452,34,False,0.99891,0.94347,True,False
15,24.031,127.384,75.802,141.213,32.466,400.896,3961,3864,3864,False,0.98198,12,True,1.0,0.98198,False,False
16,56.546,97.95,51.745,120.371,29.093,355.705,2864,2850,2850,False,0.98705,16,True,1.0,0.98705,False,False
17,23.559,68.509,45.976,143.927,30.877,312.848,2516,2443,2443,False,0.9752,12,True,1.0,0.9752,False,False
18,25.642,90.539,53.407,85.263,30.752,285.603,2823,2773,2773,False,0.98928,8,True,1.0,0.98928,False,False
19,25.705,203.069,54.064,103.511,26.452,412.801,3052,2935,3093,False,0.94605,38,False,0.97279,0.92075,True,True
20,75.257,81.925,61.099,164.206,28.012,410.499,3481,2791,2791,False,0.84885,74,False,0.99964,0.84853,True,False
