chapter,stage,model,effort,wall_seconds,prompt_chars,response_chars,input_tokens,cached_read_tokens,output_tokens,thought_tokens,total_tokens
1,director,gpt-5.6-luna,high,26.102,9844,873,23159,9984,1203,516,34346
1,curator,gpt-5.6-luna,high,105.259,18930,2345,12605,26368,5599,4039,44572
1,primary,gpt-5.6-terra,high,67.6,11195,3492,10871,25344,3484,491,39699
1,authority_reviser,gpt-5.6-luna,high,133.801,19224,3519,8585,39680,6708,3624,54973
1,state,gpt-5.6-luna,low,25.081,6800,1304,21777,9984,1172,248,32933
2,director,gpt-5.6-luna,high,38.058,11600,663,24715,9984,1882,1354,36581
2,curator,gpt-5.6-luna,high,93.843,20257,2129,29151,9984,5001,3598,44136
2,primary,gpt-5.6-terra,high,41.16,14151,2311,13605,25344,2045,113,40994
2,authority_reviser,gpt-5.6-luna,high,95.14,19040,2134,5026,46848,3137,1214,55011
2,state,gpt-5.6-luna,low,26.205,5250,1458,20414,9984,1223,180,31621
3,director,gpt-5.6-luna,high,26.393,11915,764,10622,24320,1149,516,36091
3,curator,gpt-5.6-luna,high,137.42,20928,2848,30594,9984,7389,5382,47967
3,primary,gpt-5.6-terra,high,39.186,13927,1990,30785,6912,1933,301,39630
3,authority_reviser,gpt-5.6-luna,high,55.457,20227,1990,30986,9984,2846,1214,43816
3,state,gpt-5.6-luna,low,25.07,5395,1462,19579,9984,1172,100,30735
4,director,gpt-5.6-luna,high,24.93,10948,745,24353,9984,1129,516,35466
4,curator,gpt-5.6-luna,high,137.865,21156,2830,14362,39680,6595,4529,60637
4,primary,gpt-5.6-terra,high,48.378,12398,2311,30590,6912,2446,516,39948
4,authority_reviser,gpt-5.6-luna,high,157.678,20652,2260,9123,40704,7217,5240,57044
4,state,gpt-5.6-luna,low,28.709,5778,1622,20876,9984,1366,169,32226
5,director,gpt-5.6-luna,high,25.477,11043,828,10153,24320,1198,516,35671
5,curator,gpt-5.6-luna,high,96.103,20770,2051,30536,9984,5085,3624,45605
5,primary,gpt-5.6-terra,high,61.943,11852,2542,6597,36608,2626,431,45831
5,authority_reviser,gpt-5.6-luna,high,118.165,20135,2454,8080,40704,5685,3502,54469
5,state,gpt-5.6-luna,low,23.24,6096,1092,6902,24320,1039,226,32261
6,director,gpt-5.6-luna,high,22.645,10606,601,24230,9984,1024,516,35238
6,curator,gpt-5.6-luna,high,99.222,21360,1887,30923,9984,5281,3990,46188
6,primary,gpt-5.6-terra,high,44.384,11791,2259,11894,25344,2227,265,39465
6,authority_reviser,gpt-5.6-luna,high,132.267,18819,2172,2427,47872,6108,4142,56407
6,state,gpt-5.6-luna,low,23.899,5324,1311,20617,9984,1091,125,31692
7,director,gpt-5.6-luna,high,27.309,10809,896,24377,9984,1272,516,35633
7,curator,gpt-5.6-luna,high,186.699,20991,2696,13291,39680,9520,7489,62491
7,primary,gpt-5.6-terra,high,52.985,12791,2946,25079,12032,2708,104,39819
7,authority_reviser,gpt-5.6-luna,high,182.452,20825,2939,9631,41728,9170,6491,60529
