label,started_at,completed_at,model,effort,wall_seconds,response_chars,category,chapter,stage
fast20-world,2026-08-28 22:15:33,2026-08-28 22:18:03,gpt-5.6-luna,high,149.907,3608,upstream_setup,,
fast20-human,2026-08-28 22:18:18,2026-08-28 22:19:41,gpt-5.6-luna,high,83.412,5300,upstream_setup,,
fast20-power,2026-08-28 22:18:18,2026-08-28 22:20:19,gpt-5.6-luna,high,120.923,3534,upstream_setup,,
fast20-human-select,2026-08-28 22:20:19,2026-08-28 22:20:29,gpt-5.6-luna,high,10.133,190,upstream_setup,,
fast20-power-select,2026-08-28 22:20:19,2026-08-28 22:20:31,gpt-5.6-luna,high,12.0,177,upstream_setup,,
fast20-story,2026-08-28 22:20:34,2026-08-28 22:32:34,gpt-5.6-sol,high,719.926,10153,upstream_setup,,
fast20-outline,2026-08-28 22:32:39,2026-08-28 22:37:39,gpt-5.6-luna,high,300.054,11166,upstream_setup,,
fast20-ch01-director,2026-08-28 22:37:39,2026-08-28 22:38:05,gpt-5.6-luna,high,26.102,873,adopted_chapter_stage,1,director
fast20-ch01-curator,2026-08-28 22:38:05,2026-08-28 22:39:51,gpt-5.6-luna,high,105.259,2345,adopted_chapter_stage,1,curator
fast20-ch01-primary,2026-08-28 22:39:51,2026-08-28 22:40:59,gpt-5.6-terra,high,67.6,3492,adopted_chapter_stage,1,primary
fast20-ch01-authority_reviser,2026-08-28 22:40:59,2026-08-28 22:43:13,gpt-5.6-luna,high,133.801,3696,adopted_chapter_stage,1,authority_reviser
fast20-ch01-state,2026-08-28 22:43:13,2026-08-28 22:43:38,gpt-5.6-luna,low,25.081,1304,adopted_chapter_stage,1,state
fast20-ch02-director,2026-08-28 22:43:38,2026-08-28 22:44:50,gpt-5.6-luna,high,72.057,849,discarded_chapter_stage,2,director
fast20-ch02-curator,2026-08-28 22:44:50,2026-08-28 22:46:43,gpt-5.6-luna,high,112.499,2294,discarded_chapter_stage,2,curator
fast20-ch02-primary,2026-08-28 22:46:43,2026-08-28 22:47:29,gpt-5.6-terra,high,45.789,2360,discarded_chapter_stage,2,primary
fast20-ch02-authority_reviser,2026-08-28 22:47:29,2026-08-28 22:50:13,gpt-5.6-luna,high,163.946,2230,discarded_chapter_stage,2,authority_reviser
fast20-ch02-state,2026-08-28 22:50:13,2026-08-28 22:50:36,gpt-5.6-luna,low,22.898,1249,discarded_chapter_stage,2,state
fast20-ch03-director,2026-08-28 22:50:36,2026-08-28 22:51:03,gpt-5.6-luna,high,26.606,861,discarded_chapter_stage,3,director
fast20-ch03-curator,2026-08-28 22:51:03,2026-08-28 22:52:22,gpt-5.6-luna,high,79.565,1432,discarded_chapter_stage,3,curator
fast20-ch02-director,2026-08-28 23:05:52,2026-08-28 23:06:30,gpt-5.6-luna,high,38.058,663,adopted_chapter_stage,2,director
fast20-ch02-curator,2026-08-28 23:06:30,2026-08-28 23:08:04,gpt-5.6-luna,high,93.843,2129,adopted_chapter_stage,2,curator
fast20-ch02-primary,2026-08-28 23:08:04,2026-08-28 23:08:46,gpt-5.6-terra,high,41.16,2311,adopted_chapter_stage,2,primary
fast20-ch02-authority_reviser,2026-08-28 23:08:46,2026-08-28 23:10:21,gpt-5.6-luna,high,95.14,2452,adopted_chapter_stage,2,authority_reviser
fast20-ch02-state,2026-08-28 23:10:21,2026-08-28 23:10:47,gpt-5.6-luna,low,26.205,1458,adopted_chapter_stage,2,state
fast20-ch03-director,2026-08-28 23:10:47,2026-08-28 23:11:14,gpt-5.6-luna,high,26.393,764,adopted_chapter_stage,3,director
fast20-ch03-curator,2026-08-28 23:11:14,2026-08-28 23:13:32,gpt-5.6-luna,high,137.42,2849,adopted_chapter_stage,3,curator
fast20-ch03-primary,2026-08-28 22:52:22,2026-08-28 23:14:11,gpt-5.6-terra,high,39.186,1990,adopted_chapter_stage,3,primary
fast20-ch03-authority_reviser,2026-08-28 23:14:11,2026-08-28 23:15:07,gpt-5.6-luna,high,55.457,1990,adopted_chapter_stage,3,authority_reviser
fast20-ch03-state,2026-08-28 23:15:07,2026-08-28 23:15:32,gpt-5.6-luna,low,25.07,1462,adopted_chapter_stage,3,state
fast20-ch04-director,2026-08-28 23:15:32,2026-08-28 23:15:57,gpt-5.6-luna,high,24.93,745,adopted_chapter_stage,4,director
fast20-ch04-curator,2026-08-28 23:15:57,2026-08-28 23:18:15,gpt-5.6-luna,high,137.865,3036,adopted_chapter_stage,4,curator
fast20-ch04-primary,2026-08-28 23:18:15,2026-08-28 23:19:04,gpt-5.6-terra,high,48.378,2311,adopted_chapter_stage,4,primary
fast20-ch04-authority_reviser,2026-08-28 23:19:04,2026-08-28 23:21:42,gpt-5.6-luna,high,157.678,2508,adopted_chapter_stage,4,authority_reviser
fast20-ch04-state,2026-08-28 23:21:42,2026-08-28 23:22:11,gpt-5.6-luna,low,28.709,1622,adopted_chapter_stage,4,state
