route,run,sample,director_s,curator_s,primary_s,reviser_s,total_s,fallback
native,e2e-run4,jiuchui_ch14,30.033,146.455,55.273,154.762,386.523,False
native,e2e-run4,jiuchui_ch16,62.839,149.229,56.242,233.985,502.295,False
native,e2e-run4,shadow_ch4,24.598,161.557,51.944,93.861,331.96,False
native,e2e-run4,shadow_ch9,52.519,90.359,49.906,109.567,302.351,False
native,e2e-run5,jiuchui_ch14,35.369,89.433,74.759,170.807,370.368,False
native,e2e-run5,jiuchui_ch16,35.947,114.769,65.787,148.591,365.094,False
native,e2e-run5,shadow_ch4,28.808,89.878,54.309,159.36,332.355,False
native,e2e-run5,shadow_ch9,26.431,99.869,37.714,57.568,221.582,False
control,fresh-control-3,jiuchui_ch14,24.331,109.078,68.313,109.308,311.03,False
control,fresh-control-3,jiuchui_ch16,25.858,161.572,60.054,106.191,353.675,False
control,fresh-control-3,shadow_ch4,24.795,164.904,52.626,118.391,360.716,False
control,fresh-control-3,shadow_ch9,28.815,116.522,40.721,131.536,317.594,False
control,fresh-control-4,jiuchui_ch14,23.632,105.966,50.884,172.161,352.643,False
control,fresh-control-4,jiuchui_ch16,25.251,172.152,56.08,170.008,423.491,False
control,fresh-control-4,shadow_ch4,70.689,82.125,47.439,107.813,308.066,False
control,fresh-control-4,shadow_ch9,34.219,88.699,50.478,140.599,313.995,False
